순위,키워드,등장횟수,관련_상품수
1,가죽,16,13
2,숄더백,10,9
3,가방,10,9
4,버킷,8,7
5,천연,8,8
6,럭셔리,7,7
7,민티즈,6,6
8,스몰,4,4
9,블랙,4,4
10,미니,4,4
11,미우 미우,3,3
12,보부상,3,3
13,매크로까나쥬,2,2
14,홀리데이,2,2
15,크리스마스,2,2
16,체인,2,2
17,플랩,2,2
18,스웨이드,2,2
19,크로스,2,2
20,마르헨제이,2,2
21,데일리,2,2
22,대학,2,2
23,나파,2,2
24,UNOZ,1,1
25,아르카,1,1
26,스타,1,1
27,크링클,1,1
28,PNIO,1,1
29,소프트,1,1
30,스웨,1,1
