순위,태그명,사용_빈도
1,#가죽,11
2,#가방,11
3,#숄더백,10
4,#천연,9
5,#민티즈,8
6,#럭셔리,8
7,#버킷,8
8,#여성,7
9,#보부상,4
10,#스몰,4
11,#플랩,3
12,#크로스,3
13,#블랙,3
14,#미니,3
15,#국내,3
16,#스웨,2
17,#스웨이드,2
18,#체인,2
19,#마르헨제이,2
20,#데일리,2
21,#대학,2
22,#ZARA,2
23,#백화점,2
24,#소프트,1
25,#스웨이,1
26,#그레이,1
27,#벨린느,1
28,#아델,1
29,#BLACK,1
30,#럭스,1
31,#실버,1
32,#헤이븐,1
33,#더블,1
34,#스트랩,1
35,#레더,1
36,#누아르,1
37,#크로커,1
38,#토트백,1
39,#로메,1
40,#직장인,1
41,#비건레더,1
42,#컬러,1
43,#미백,1
44,#직장,1
45,#아이패드,1
46,#바스켓,1
47,#최화정,1
48,#용량,1
49,#타이니트레져,1
50,#세무,1
51,#아르코,1
52,#토트,1
53,#샤넬,1
54,#캐비어,1
55,#위드,1
56,#핑크,1
57,#제니,1
58,#AS,1
59,#기프트,1
60,#동봉,1
61,#고야드,1
62,#생루이,1
63,#PM,1
64,#GM,1
65,#쇼퍼,1
66,#빈티지,1
67,#카라멜,1
68,#재고,1
69,#감정서,1
70,#제공,1
71,#포춘,1
72,#크루아,1
73,#양가죽,1
74,#다크,1
75,#초코,1
76,#피칸,1
77,#BG,1
78,#셀린,1
79,#트리오,1
80,#캔버스,1
81,#CAS,1
82,#LU,1
83,#가능,1
84,#패키지,1
85,#만능,1
86,#오피스,1
87,#페미닌,1
88,#여대,1
89,#끝판왕,1
